,property_name,society,property_type,price,price_per_sq,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,furnish_score,features_score,study room,servant room,store room,pooja room,others,super_built_up_area,built_up_area,carpet_area
1187,3 BHK Flat in Sector 79 Gurgaon,mapsko mount ville,flats,1.4,9395.0,1490.0,3,3,3,2.0,north,new property,42,112,0,0,0,0,0,,,1490
1188,3 BHK Flat in Sector 66 Gurgaon,emaar mgf the palm drive,flats,2.8,16470.0,1700.0,3,4,3,8.0,north-east,relative new,78,117,0,1,0,0,0,1950,1920,1700
1189,3 BHK Flat in Sector 69 Gurgaon,tulip violet,flats,1.29,8227.0,1568.0,3,3,1,12.0,north-east,relative new,24,86,0,0,0,1,0,1568,,
1190,4 BHK Flat in Sector 82A Gurgaon,dlf the primus,flats,2.55,11218.0,2273.0,4,4,3,14.0,south-west,relative new,95,44,0,0,0,0,0,2273,,1340
1191,2 BHK Flat in Sohna,signature global park,flats,0.54,6506.0,830.0,2,2,1,2.0,na,relative new,0,16,0,0,0,0,0,,,830
1192,3 BHK Flat in Sector 89 Gurgaon,greenopolis,flats,1.3,6806.0,1910.0,3,3,3,1.0,south-west,new property,0,35,0,1,0,0,0,,,1910
1193,2 BHK Flat in Sector 63A Gurgaon,birla navya,flats,2.1,16666.0,1260.0,2,2,2,2.0,na,Under Construction,11,38,0,0,0,0,0,,,1260
1194,3 BHK Flat in Sector 83 Gurgaon,emaar palm gardens,flats,1.8,9474.0,1900.0,3,4,0,9.0,na,Undefined,4,0,0,0,0,0,0,,1900,
1195,4 Bedroom House for sale in Sector 103 Gurgaon,indiabulls centrum park,houses,3.25,8125.0,4000.0,4,3,3,20.0,Na,Under Construction,0,0,0,0,0,0,0,,,
1196,3 BHK Flat in Sector 47 Gurgaon,cghs airport apartment,flats,1.65,7857.0,2100.0,3,3,3,1.0,north-east,old property,38,136,0,0,0,0,1,2100,,1720
1197,2 BHK Flat in Sohna,ashiana anmol,flats,0.9,9463.0,951.0,2,2,2,13.0,south,relative new,52,120,0,0,0,0,0,1275,,951
1198,3 BHK Flat in Sector 85 Gurgaon,ss the leaf,flats,2.15,8928.0,2408.0,3,5,3,2.0,na,new property,0,0,0,0,0,0,0,2408,,
1199,1 BHK Flat in Sector 36A Gurgaon,avl 36 gurgaon,flats,0.37,10539.0,351.0,1,1,1,3.0,north,relative new,34,88,0,0,0,0,0,352,,
1200,3 BHK Flat in Sector 83 Gurgaon,emaar palm gardens,flats,1.73,9105.0,1900.0,3,3,3,5.0,west,relative new,55,174,0,1,0,0,0,1900,1600,1240
1201,12 Bedroom House for sale in Malibu Town,independent,houses,6.09,33665.0,1809.0,12,11,3,4.0,West,relative new,211,44,0,0,0,1,0,,180,150
1202,3 BHK Flat in Sector 86 Gurgaon,dlf the skycourt,flats,1.72,8916.0,1929.0,3,3,1,8.0,north,relative new,44,49,0,0,0,0,1,1929,,
1203,4 BHK Flat in Sector 111 Gurgaon,puri diplomatic greens,flats,3.45,11694.0,2950.0,4,5,3,9.0,north-east,relative new,0,68,0,1,0,0,0,2950,,
1204,8 Bedroom House for sale in Sector 10A Gurgaon,independent,houses,3.6,19608.0,1836.0,8,4,3,3.0,North,relative new,32,28,0,0,0,1,0,,,
1205,3 Bedroom House for sale in Nirvana Country,independent,houses,7.0,32407.0,2160.0,3,2,0,1.0,Na,Undefined,1,0,0,0,0,0,0,,240,
1206,2 BHK Flat in Sector 84 Gurgaon,antriksh heights,flats,0.6,5000.0,1200.0,2,2,2,14.0,north,relative new,0,52,0,0,0,0,0,1200,,
1207,3 BHK Flat in Sector 71 Gurgaon,chd avenue,flats,1.12,6215.0,1802.0,3,4,3,0.0,south-east,relative new,0,65,0,1,0,0,0,1802,,
1208,3 BHK Flat in Sector 48 Gurgaon,parsvnath green ville,flats,1.6,8376.0,1910.0,3,3,3,8.0,north,old property,31,49,0,0,0,0,1,1910,1895,1800
1209,3 BHK Flat in Sector 67 Gurgaon,m3m merlin,flats,3.39,14376.0,2358.0,3,4,3,14.0,east,relative new,36,26,0,1,0,0,0,2358,2100,2000
1210,2 BHK Flat in Sector 85 Gurgaon,orris aster court,flats,0.67,5825.0,1150.0,2,2,2,5.0,north-west,relative new,36,174,0,0,0,0,1,1375,1250,1150
1211,4 Bedroom House for sale in Sector 109 Gurgaon,international city by sobha phase 2,houses,5.65,10463.0,5400.0,4,4,3,2.0,North-East,new property,55,44,0,1,0,0,1,,,
1212,3 BHK Flat in Sector 77 Gurgaon,umang winter hills,flats,1.4,6340.0,2208.0,3,3,3,10.0,north-east,Undefined,1,28,0,0,0,0,0,,1735,
1213,2 BHK Flat in Sector 89 Gurgaon,nbcc heights,flats,0.75,6578.0,1140.0,2,2,2,6.0,na,relative new,0,0,0,0,0,0,0,1140,,
1214,3 BHK Flat in Sector 99 Gurgaon,assotech blith,flats,1.6,6667.0,2400.0,3,4,0,15.0,na,Undefined,1,0,0,0,0,0,0,,2400,
1215,2 BHK Flat in Sector 37C Gurgaon,ild grand,flats,0.66,5038.0,1310.0,2,2,3,14.0,na,Undefined,0,0,0,0,0,0,0,,1310,
1216,3 Bedroom House for sale in Sector 26 Gurgaon,dlf city phase 1,houses,3.25,33129.0,981.0,3,3,3,2.0,West,old property,21,79,1,0,0,0,0,,,
1217,4 BHK Flat in Sector 110 Gurgaon,indiabulls enigma,flats,3.25,9558.0,3400.0,4,4,3,11.0,south,relative new,30,125,0,1,0,0,1,3400,,
1218,4 Bedroom House for sale in Sector 55 Gurgaon,independent,houses,3.55,24500.0,1449.0,4,4,3,2.0,Na,old property,56,27,0,0,0,0,0,,,
1219,3 BHK Flat in Sector 104 Gurgaon,puri emerald bay,flats,2.3,9387.0,2450.0,3,4,3,10.0,north-east,relative new,0,101,0,1,0,0,0,2450,,
1220,3 BHK Flat in Sector 81 Gurgaon,dlf the ultima,flats,2.2,10476.0,2100.0,3,4,3,17.0,east,relative new,97,49,0,1,0,0,0,2100,,
1221,3 BHK Flat in Sector 37C Gurgaon,corona optus,flats,1.4,7035.0,1990.0,3,3,3,4.0,south,relative new,0,149,0,1,0,0,0,1990,1890,1790
1222,2 BHK Flat in Sector 37D Gurgaon,ramprastha the edge towers,flats,0.75,5319.0,1410.0,2,2,3,19.0,na,relative new,0,0,0,0,0,0,0,,1410,
1223,3 BHK Flat in Sector 90 Gurgaon,shree vardhman flora,flats,0.92,4906.0,1875.0,3,4,3,4.0,north-east,relative new,0,116,0,1,0,0,0,1875,,1161
1224,4 BHK Flat in Sector 92 Gurgaon,sare crescent parc royal greens phase 1,flats,1.25,5832.0,2143.0,4,4,3,20.0,east,relative new,0,60,0,1,0,0,0,2143,,
1225,2 BHK Flat in Sector 90 Gurgaon,shree vardhman flora,flats,0.65,4814.0,1350.0,2,2,3,3.0,north,relative new,0,106,1,0,0,0,0,1350,,
1226,2 BHK Flat in Nirvana Country,unitech fresco,flats,1.14,8532.0,1336.0,2,2,2,19.0,east,relative new,71,174,0,0,0,0,1,1336,1330,1100
1227,3 BHK Flat in Sector 70A Gurgaon,capital residences 360,flats,1.51,7641.0,1976.0,3,3,3,7.0,south-east,relative new,41,49,0,1,0,0,0,1976,,
1228,2 BHK Flat in Sector 104 Gurgaon,puri emerald bay,flats,1.5,9678.0,1550.0,2,2,2,7.0,na,under construction,0,43,0,0,0,0,1,1550,,
1229,3 BHK Flat in Sector 83 Gurgaon,emaar palm gardens,flats,1.6,8648.0,1850.0,3,3,3,6.0,east,relative new,48,167,1,1,1,1,0,1850,,
1230,2 BHK Flat in Sector 33 Gurgaon,godrej,flats,0.95,6859.0,1385.0,2,2,3,3.0,south-east,under construction,0,0,0,0,0,0,0,1385,,
1231,4 BHK Flat in Sector 69 Gurgaon,tulip violet,flats,1.75,8706.0,2010.0,4,4,2,10.0,north-east,relative new,71,109,0,0,0,0,0,2010,,
1232,3 BHK Flat in Sector 37D Gurgaon,signature global city,flats,1.0,8160.0,1225.0,3,3,3,4.0,south-east,Under Construction,31,49,0,0,0,0,0,,1250,915
1233,4 BHK Flat in Sector 68 Gurgaon,pareena mi casa,flats,1.7,8504.0,1999.0,4,4,3,2.0,na,new property,0,0,0,0,0,0,0,1999,,
1234,4 BHK Flat in Sector 110 Gurgaon,indiabulls enigma,flats,4.0,9851.0,4061.0,4,4,3,17.0,na,new property,0,0,0,0,0,0,0,,3350,
1235,2 BHK Flat in Sector 92 Gurgaon,sare crescent parc,flats,0.49,4909.0,998.0,2,2,2,2.0,na,relative new,0,96,0,0,0,0,0,,,998
