society,property_type,sector,price,price_per_sq,area,bedRoom,bathroom,balcony,floorNum,facing,agePossession,furnish_score,features_score,study room,servant room,store room,pooja room,others
chd avenue,flats,sector 71,0.95,7917.0,1200.0,2.0,2.0,0.0,5.0,south,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
smart world one,flats,dwarka expressway,1.65,5933.0,2781.0,3.0,4.0,3.0,6.0,na,under construction,unfurnished,low,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 46,2.2,24202.0,909.0,3.0,3.0,2.0,3.0,North-West,old property,semifurnished,mid,0.0,0.0,1.0,0.0,0.0
ansal housing highland park,flats,sector 103,0.88,6429.0,1369.0,2.0,2.0,3.0,3.0,na,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 67,1.5,8642.0,1736.0,5.0,3.0,2.0,2.0,Na,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
vatika sovereign next sector-82 a gurgaon,flats,sector 82a,2.91,6700.0,4343.0,4.0,4.0,3.0,6.0,east,under construction,semifurnished,mid,1.0,1.0,1.0,0.0,0.0
aipl club residences,flats,sector 70a,0.95,10215.0,930.0,2.0,2.0,1.0,11.0,north-east,new property,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 25,10.0,37037.0,2700.0,5.0,6.0,3.0,3.0,North,old property,semifurnished,mid,0.0,1.0,1.0,0.0,0.0
puri emerald bay,flats,sector 104,1.32,8516.0,1550.0,2.0,2.0,2.0,10.0,north-east,relative new,semifurnished,high,0.0,0.0,0.0,0.0,0.0
baani city center,flats,sector 63,0.88,10945.0,804.0,1.0,1.0,2.0,4.0,na,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
mapsko casa bella,flats,sector 82,0.86,8120.0,1059.0,3.0,3.0,3.0,5.0,south,relative new,semifurnished,high,1.0,0.0,0.0,0.0,0.0
uppal southend,houses,sector 49,3.75,25562.0,1467.0,6.0,6.0,3.0,3.0,East,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,1.0
hcbs sports ville,flats,sohna road,0.3,4011.0,748.0,2.0,2.0,2.0,3.0,na,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
mvn athens,flats,sohna road,0.26,5397.0,482.0,2.0,2.0,1.0,5.0,na,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
malibu towne,houses,sector 47,8.81,27191.0,3240.0,8.0,6.0,3.0,3.0,East,relative new,semifurnished,mid,1.0,1.0,0.0,0.0,1.0
ss,flats,sector 85,1.18,7170.0,1646.0,2.0,2.0,3.0,4.0,west,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
shapoorji pallonji joyville gurugram,flats,sector 102,1.26,10041.0,1255.0,2.0,2.0,2.0,10.0,north,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
bptp pedestal,flats,sector 70a,1.9,9500.0,2000.0,4.0,3.0,3.0,2.0,east,new property,semifurnished,high,0.0,0.0,1.0,0.0,0.0
dlf royalton tower,flats,sector 43,6.5,20687.0,3142.0,4.0,4.0,3.0,9.0,na,relative new,unfurnished,low,0.0,1.0,0.0,0.0,0.0
tulip violet,flats,sector 69,1.68,10071.0,1668.0,3.0,3.0,2.0,0.0,west,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
emaar gurgaon greens,flats,sector 102,1.45,8787.0,1650.0,3.0,3.0,3.0,7.0,north-east,relative new,unfurnished,high,0.0,1.0,0.0,0.0,0.0
international city by sobha phase 2,houses,sector 109,7.0,11240.0,6228.0,5.0,5.0,3.0,2.0,South,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
dlf the ultima,flats,sector 81,3.25,11805.0,2753.0,4.0,4.0,3.0,11.0,north-west,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
independent,houses,sector 43,8.5,31481.0,2700.0,5.0,5.0,3.0,3.0,West,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
puri the aravallis,flats,sector 61,3.9,33209.0,1174.0,3.0,4.0,3.0,33.0,south,under construction,unfurnished,high,0.0,1.0,0.0,0.0,0.0
ireo skyon,flats,sector 60,3.75,13392.0,2800.0,4.0,4.0,3.0,12.0,north,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
emaar gurgaon greens,flats,sector 102,1.52,9212.0,1650.0,3.0,3.0,3.0,7.0,north-west,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
signature global solera,flats,sector 107,0.29,5930.0,489.0,2.0,2.0,2.0,3.0,east,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 26,19.0,42222.0,4500.0,6.0,8.0,3.0,3.0,East,relative new,fullyfurnished,mid,1.0,1.0,1.0,1.0,0.0
vatika gurgaon,flats,sector 83,1.25,7812.0,1600.0,4.0,4.0,3.0,12.0,south-west,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
hcbs sports ville,flats,sohna road,0.2,2666.0,750.0,2.0,2.0,1.0,4.0,na,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
ats kocoon,flats,sector 109,1.75,10028.0,1745.0,3.0,3.0,3.0,10.0,north-east,relative new,fullyfurnished,mid,0.0,0.0,0.0,1.0,0.0
samadhan shri kamal cghs,flats,sector 1,2.01,11426.0,1759.0,4.0,4.0,3.0,10.0,na,relative new,semifurnished,low,0.0,0.0,0.0,0.0,0.0
independent,houses,sector 4,3.2,14222.0,2250.0,3.0,3.0,2.0,2.0,Na,old property,semifurnished,low,0.0,0.0,0.0,0.0,0.0
dlf the ultima,flats,sector 81,2.45,11491.0,2132.0,3.0,3.0,2.0,9.0,south-east,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
signature the roselia,flats,sector 95,0.41,6194.0,662.0,2.0,2.0,2.0,12.0,north,new property,semifurnished,mid,1.0,0.0,0.0,0.0,0.0
godrej nature plus,flats,sector 33,1.75,8768.0,1996.0,3.0,3.0,0.0,2.0,na,under construction,unfurnished,low,0.0,0.0,0.0,0.0,0.0
breez global heights,flats,sohna road,0.26,6598.0,394.0,1.0,1.0,1.0,6.0,na,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
ats triumph,flats,sector 104,1.95,8515.0,2290.0,3.0,3.0,3.0,3.0,na,new property,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
