property_type,sector,price,area,bedRoom,bathroom,balcony,floor,agePossession,furnish,features,study room,servant room,store room,pooja room,others
flats,sector 67,3.4,2358.0,3.0,4.0,3.0,High Floor,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 78,0.75,1239.0,2.0,2.0,1.0,Mid Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 102,1.95,2579.0,3.0,4.0,3.0,Mid Floor,relative new,semifurnished,mid,1.0,1.0,0.0,0.0,0.0
flats,sector 90,0.75,1300.0,2.0,2.0,3.0,Mid Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
houses,sector 8,0.62,550.0,3.0,1.0,0.0,Low Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 47,2.4,2086.0,3.0,3.0,3.0,Mid Floor,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
flats,sector 66,3.0,1950.0,3.0,3.0,2.0,High Floor,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 81,4.45,4200.0,4.0,4.0,3.0,Mid Floor,relative new,semifurnished,mid,1.0,1.0,0.0,1.0,1.0
flats,sector 74,2.2,2018.0,3.0,3.0,3.0,High Floor,new property,semifurnished,low,1.0,0.0,0.0,0.0,0.0
flats,sector 65,2.8,1650.0,3.0,3.0,2.0,Mid Floor,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 92,0.6,1200.0,3.0,2.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
houses,sector 4,0.7,684.0,3.0,2.0,1.0,Low Floor,new property,unfurnished,low,1.0,0.0,0.0,0.0,0.0
flats,sector 103,1.33,1550.0,3.0,3.0,3.0,Mid Floor,relative new,semifurnished,high,1.0,0.0,0.0,0.0,0.0
houses,sector 43,11.5,6500.0,7.0,8.0,3.0,Mid Floor,old property,semifurnished,mid,0.0,1.0,1.0,1.0,0.0
houses,sector 48,7.25,2592.0,3.0,4.0,2.0,Low Floor,relative new,fullyfurnished,high,1.0,1.0,1.0,1.0,0.0
flats,sector 69,1.85,2010.0,4.0,4.0,2.0,High Floor,relative new,semifurnished,high,0.0,0.0,0.0,0.0,0.0
flats,sector 69,1.55,1578.0,3.0,3.0,2.0,Mid Floor,relative new,semifurnished,high,0.0,0.0,0.0,1.0,0.0
houses,sector 7,2.0,1800.0,2.0,2.0,1.0,Low Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
houses,sector 24,2.6,1080.0,4.0,4.0,3.0,Mid Floor,relative new,fullyfurnished,low,1.0,0.0,1.0,1.0,0.0
flats,sector 113,3.05,2690.0,3.0,4.0,3.0,High Floor,new property,unfurnished,high,0.0,1.0,0.0,0.0,0.0
houses,sector 57,4.7,2160.0,3.0,3.0,2.0,Low Floor,old property,unfurnished,mid,0.0,1.0,0.0,0.0,1.0
flats,sector 85,2.1,2812.0,4.0,5.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 95,0.33,844.0,2.0,2.0,1.0,High Floor,new property,semifurnished,mid,0.0,0.0,0.0,0.0,1.0
flats,sector 90,1.17,1744.0,3.0,3.0,3.0,High Floor,relative new,semifurnished,high,0.0,0.0,0.0,0.0,0.0
houses,sector 112,7.46,7271.0,4.0,4.0,3.0,Low Floor,relative new,semifurnished,mid,0.0,1.0,0.0,1.0,0.0
flats,sector 79,0.71,1171.0,2.0,2.0,3.0,High Floor,new property,semifurnished,mid,0.0,0.0,0.0,0.0,1.0
flats,sector 67,2.78,2047.0,3.0,3.0,3.0,Mid Floor,relative new,semifurnished,high,0.0,0.0,0.0,1.0,0.0
flats,sector 82a,2.2,2092.0,3.0,3.0,3.0,High Floor,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
flats,sector 71,0.95,1200.0,2.0,2.0,0.0,Mid Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,dwarka expressway,1.65,2781.0,3.0,4.0,3.0,Mid Floor,under construction,unfurnished,low,0.0,0.0,0.0,0.0,0.0
houses,sector 46,2.2,909.0,3.0,3.0,2.0,Mid Floor,old property,semifurnished,mid,0.0,0.0,1.0,0.0,0.0
flats,sector 103,0.88,1369.0,2.0,2.0,3.0,Mid Floor,new property,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
houses,sector 67,1.5,1736.0,5.0,3.0,2.0,Low Floor,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 82a,2.91,4343.0,4.0,4.0,3.0,Mid Floor,under construction,semifurnished,mid,1.0,1.0,1.0,0.0,0.0
flats,sector 70a,0.95,930.0,2.0,2.0,1.0,High Floor,new property,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
houses,sector 25,10.0,2700.0,5.0,6.0,3.0,Mid Floor,old property,semifurnished,mid,0.0,1.0,1.0,0.0,0.0
flats,sector 104,1.32,1550.0,2.0,2.0,2.0,Mid Floor,relative new,semifurnished,high,0.0,0.0,0.0,0.0,0.0
flats,sector 63,0.88,804.0,1.0,1.0,2.0,Mid Floor,new property,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sector 82,0.86,1059.0,3.0,3.0,3.0,Mid Floor,relative new,semifurnished,high,1.0,0.0,0.0,0.0,0.0
houses,sector 49,3.75,1467.0,6.0,6.0,3.0,Mid Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,1.0
flats,sohna road,0.3,748.0,2.0,2.0,2.0,Mid Floor,relative new,unfurnished,low,0.0,0.0,0.0,0.0,0.0
flats,sohna road,0.26,482.0,2.0,2.0,1.0,Mid Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
houses,sector 47,8.81,3240.0,8.0,6.0,3.0,Mid Floor,relative new,semifurnished,mid,1.0,1.0,0.0,0.0,1.0
flats,sector 85,1.18,1646.0,2.0,2.0,3.0,Mid Floor,relative new,semifurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 102,1.26,1255.0,2.0,2.0,2.0,Mid Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
flats,sector 70a,1.9,2000.0,4.0,3.0,3.0,Low Floor,new property,semifurnished,high,0.0,0.0,1.0,0.0,0.0
flats,sector 43,6.5,3142.0,4.0,4.0,3.0,Mid Floor,relative new,unfurnished,low,0.0,1.0,0.0,0.0,0.0
flats,sector 69,1.68,1668.0,3.0,3.0,2.0,Low Floor,relative new,unfurnished,high,0.0,0.0,0.0,0.0,0.0
flats,sector 102,1.45,1650.0,3.0,3.0,3.0,Mid Floor,relative new,unfurnished,high,0.0,1.0,0.0,0.0,0.0
houses,sector 109,7.0,6228.0,5.0,5.0,3.0,Low Floor,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
flats,sector 81,3.25,2753.0,4.0,4.0,3.0,High Floor,relative new,unfurnished,mid,0.0,1.0,0.0,0.0,0.0
houses,sector 43,8.5,2700.0,5.0,5.0,3.0,Mid Floor,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
flats,sector 61,3.9,1174.0,3.0,4.0,3.0,High Floor,under construction,unfurnished,high,0.0,1.0,0.0,0.0,0.0
flats,sector 60,3.75,2800.0,4.0,4.0,3.0,High Floor,relative new,semifurnished,mid,0.0,1.0,0.0,0.0,0.0
flats,sector 102,1.52,1650.0,3.0,3.0,3.0,Mid Floor,relative new,semifurnished,high,0.0,1.0,0.0,0.0,0.0
flats,sector 107,0.29,489.0,2.0,2.0,2.0,Mid Floor,relative new,unfurnished,mid,0.0,0.0,0.0,0.0,0.0
houses,sector 26,19.0,4500.0,6.0,8.0,3.0,Mid Floor,relative new,fullyfurnished,mid,1.0,1.0,1.0,1.0,0.0
